,Trips,Fare amount (avg),Fare amount (std),Tip amount (avg),Tip amount (std),Total amount (avg),Total amount (std)
2013-08-01,12.0,11.166666666666664,20.705821901244605,0.006666666666666667,0.023094010767585032,12.67666666666667,20.28220865386184
2013-08-02,13.0,292.2269230769232,985.6416792322368,0.0,0.0,293.4576923076923,985.7127110298908
2013-08-03,1.0,3.25,,0.0,,3.5,
2013-08-05,107.0,5.331682242990657,17.57408627679163,0.15626168224299064,0.5855130363894974,6.101962616822427,17.585504882170802
2013-08-06,22.0,5.096363636363637,6.262180166116303,0.20909090909090908,0.5588671286920243,5.748636363636364,6.4234705761312725
2013-08-07,70.0,6.176571428571429,9.890548685079382,0.12514285714285714,0.4376542969558193,9.199714285714286,17.76310563095076
2013-08-08,74.0,49.4631081081081,378.37265169470345,0.040135135135135135,0.2683153595552608,50.62594594594594,378.3008320774125
2013-08-09,92.0,14.61304347826087,41.32628519209425,0.6766304347826086,1.384057006046579,16.74336956521739,41.40590352550008
2013-08-10,59.0,12.602203389830509,8.79789396189883,0.4232203389830509,1.1366093567818365,13.888813559322033,9.659529703113408
2013-08-11,40.0,11.1875,10.35441656046792,0.6134999999999999,1.397062027145649,13.309000000000001,12.796783409944306
2013-08-12,130.0,14.374538461538462,60.14318246544784,0.5120769230769231,1.7614149070156977,15.779076923076918,60.26624399307458
2013-08-13,160.0,14.145937500000002,49.87184487328752,0.7503749999999999,2.2689181994063854,15.786499999999995,50.24616073070757
2013-08-14,181.0,9.194751381215466,22.234075838902502,0.2255248618784531,0.8945193468441327,14.860552486187842,54.287505578312256
2013-08-15,193.0,10.825854922279792,12.591040689534347,0.5282901554404144,1.3370360093772111,12.823834196891193,13.48784822741193
2013-08-16,271.0,11.696457564575644,13.214702754362486,0.3281918819188192,1.0105928110330211,13.192435424354244,13.781105340904658
2013-08-17,220.0,12.179545454545455,8.217410505072957,0.7495454545454546,1.6757572465970771,13.723909090909093,9.223207684515069
2013-08-18,165.0,11.924242424242426,8.307469101218576,0.6057575757575758,1.4704877867959478,13.349151515151513,9.151950239054113
2013-08-19,216.0,12.694444444444445,14.524092788116915,0.570462962962963,1.9460743475170081,14.418935185185184,15.57278569202482
2013-08-20,220.0,12.266409090909093,19.2548405659462,0.4003636363636364,1.1532910441261577,13.70909090909091,19.610410525949305
2013-08-21,232.0,11.678879310344827,8.522647828658942,0.5982327586206895,1.3477824908191165,13.312241379310345,9.099011799843515
2013-08-22,293.0,11.461433447098976,9.617028668146208,0.6730034129692832,1.5999333858099898,13.22136518771331,10.610619818106784
2013-08-23,362.0,14.420718232044196,17.45397069756687,0.8023756906077344,1.7759894100983158,16.31668508287292,18.03934502791846
2013-08-24,420.0,13.569523809523805,10.301714515963127,0.9781428571428572,2.1506414381051417,15.40797619047619,11.768037795466055
2013-08-25,377.0,13.521220159151197,9.276963323591,0.8468700265251992,1.6475961750181092,15.276710875331569,10.46643987327935
2013-08-26,422.0,13.960308056872034,23.385696018927327,0.7349289099526068,1.9096016596393002,15.931611374407588,23.968709456847247
2013-08-27,432.0,13.410185185185185,12.485118304764129,0.8964583333333335,1.9607497034685464,15.421041666666667,13.787439947449432
2013-08-28,539.0,14.716141001855288,13.221474138272312,1.1100742115027835,2.3168561239997527,17.16677179962894,15.105266037050068
2013-08-29,642.0,13.794875389408102,11.704982287849186,0.8305763239875388,2.0231405772356954,15.987352024922119,13.505113950118387
2013-08-30,808.0,13.990457920792078,13.388810848013271,1.0667821782178215,2.3786921822136184,16.410705445544547,15.36848840351714
2013-08-31,850.0,14.072117647058823,10.230951974942846,1.0319647058823536,2.411845135966163,16.13832941176471,12.340582797351413
2013-09-01,758.0,15.416886543535616,11.403130804432141,1.222189973614776,2.2571925738069814,17.707493403693928,13.012747323915589
2013-09-02,569.0,14.998066783831284,11.417567995512517,1.0620210896309314,2.306014554662441,18.169156414762725,24.766883770096666
2013-09-03,750.0,14.14984,22.340958660859823,0.9308533333333334,2.096090917557835,16.392279999999996,23.226187093252964
2013-09-04,770.0,14.048961038961039,19.971115819092294,1.062818181818182,2.336205726614894,16.437532467532467,21.352561097555075
2013-09-05,814.0,14.958611793611796,28.11307638584169,1.0887223587223585,2.0352546136183403,17.287813267813267,28.749071845708148
2013-09-06,1026.0,14.836461988304094,60.38540641059482,1.0423294346978562,2.2930792446181743,17.228401559454205,60.75108211163961
2013-09-07,1104.0,14.682789855072462,10.335068811190654,1.2431884057971012,2.3363857250895363,16.91144927536233,12.026862442071387
2013-09-08,971.0,14.181771369721934,10.120774152026813,1.1112049433573643,2.1079988776714744,16.312368692070034,11.747515936238315
2013-09-09,984.0,12.610071138211381,11.297388416829461,0.7186991869918697,1.7294307612167277,14.443851626016253,12.378945630218587
2013-09-10,962.0,12.392931392931395,9.940289575794424,0.8474948024948024,1.7894216455814311,14.265862785862787,10.933172813835807
2013-09-11,1141.0,12.788168273444347,17.042202267696027,0.9820595968448724,3.1566835889357066,14.784548641542502,18.03503076842471
2013-09-12,1321.0,12.588811506434519,9.538398435941764,1.010984102952309,1.9777374432527903,14.665367146101445,10.957012776069488
2013-09-13,1573.0,12.621716465352831,9.614000392158404,0.9563890654799742,2.108177476144649,14.700375079465998,11.205047909338646
2013-09-14,1683.0,13.561734997029117,15.093902583639569,1.0315389185977426,1.9447835826216704,15.466833036244807,15.881756350982233
2013-09-15,1315.0,13.687072243346007,9.273679232399145,1.04631939163498,1.91187632181196,15.636730038022804,10.498969672546721
