,Trips,Fare amount (avg),Fare amount (std),Tip amount (avg),Tip amount (std),Total amount (avg),Total amount (std)
2016-01-01,64396.0,12.839519224796572,10.898493610457113,1.1556430523635182,2.41018148895749,15.204087831555407,12.09929891011476
2016-01-02,46958.0,11.787014779164355,9.835717420461096,1.0966578644746514,2.4172358177379296,13.97505962775396,11.212139106274432
2016-01-03,44270.0,12.038720352383097,12.190559478399337,1.1614296363225758,2.9002783242456047,14.302952112040627,13.69908786103828
2016-01-04,43740.0,11.406417466849561,13.952010586997115,1.0954604481024324,2.6602656046580564,13.80279606767152,15.633085863258634
2016-01-05,42342.0,11.583688063860938,11.120106043995161,1.1720939020358083,2.6937401248358044,14.028477398326553,12.795706135237653
2016-01-06,42025.0,11.67904604402141,11.130641175328138,1.1771367043426617,2.324016778604708,14.140988459249105,12.339372571037664
2016-01-07,42811.0,11.7327581696293,9.629540675494678,1.2264527808273544,2.463075057063953,14.244705799910461,11.098344701466722
2016-01-08,50987.0,11.836091945005592,10.004979423468988,1.2344432894659427,3.4539003524003977,14.37423068625808,11.7773547456805
2016-01-09,56861.0,12.022762350292822,11.472678411183919,1.3071928035032985,3.059625617976373,14.442952463031304,13.214918406348927
2016-01-10,49877.0,11.991677526715716,9.662535989436494,1.3327686107825345,3.2934789692481647,14.430573410594635,11.332985344776635
2016-01-11,41603.0,11.592485878422224,10.215185917704668,1.2106449054154789,3.3252644430342366,14.080561257599742,11.893636831185177
2016-01-12,41124.0,11.814217002237134,12.262253572748563,1.242518723859551,2.6625329781164178,14.334823217584322,13.576840524900556
2016-01-13,45839.0,11.613907153297406,13.201034078359244,1.259220750888996,3.4706279202168626,14.148451318747115,14.679937378518147
2016-01-14,45846.0,11.91118461806919,10.588708218759704,1.2756094315752815,2.5045602126772533,14.467476551936654,11.983642186212457
2016-01-15,52719.0,12.250245452303725,10.569829033101364,1.3160111155371053,2.6587236065189046,14.886334338669956,11.98870650797704
2016-01-16,59626.0,12.13586975480495,10.703462512745553,1.3082988964545879,2.64814267084581,14.569614094531026,12.006733937575348
2016-01-17,52803.0,11.963601878681136,10.202270480748783,1.2908431339128508,2.7803832224481817,14.360886881433375,11.544951868854067
2016-01-18,38913.0,11.327563796160664,9.873230786831122,1.2072901087040349,2.530041905001577,13.597826690303854,11.405844306618354
2016-01-19,43963.0,11.533001842458427,10.16420548534499,1.21937333666948,2.6365115829180814,14.015961604076033,11.637742800912108
2016-01-20,43734.0,11.641649974847946,9.423929018149083,1.2912297068642271,2.8417195943326288,14.214392920839751,11.005016350191903
2016-01-21,48606.0,11.714890137020125,9.463928535771307,1.2811883306587728,2.580277634432786,14.296271036500904,10.923414259138264
2016-01-22,57552.0,11.714862211565194,9.306102818440149,1.2443051501251143,2.3311240427646407,14.277956109265617,10.7421868363836
2016-01-23,11031.0,11.724241682531051,9.201498339849184,1.2747085486356655,2.3315247140253987,14.242937177046144,10.27572216111832
2016-01-24,22010.0,12.108149023171284,9.926527686466214,1.2588255338482588,2.647021379523624,14.40092639708822,12.844448020636339
2016-01-25,42944.0,12.836540611028314,10.625571283666627,1.2848153409090912,2.7546934057824006,15.414275335322829,12.20982445048148
2016-01-26,44321.0,12.419926896956296,11.097603978361674,1.2988109474064216,2.7120758129497635,15.013245639767089,12.495437189265726
2016-01-27,45792.0,12.019361897274633,9.730774903704788,1.2999482442348,3.674793803925599,14.613559792105697,11.466262964024839
2016-01-28,47519.0,12.053406216460786,9.78731148749459,1.2962213009533028,2.8669099484287566,14.653400324084412,11.425752561635509
2016-01-29,57370.0,11.874982569287088,9.229699195362038,1.2487559700191857,2.343951895141709,14.444377723556835,10.645669043303142
2016-01-30,65415.0,12.15326163723917,9.27769978784449,1.2958497286555402,2.4772520901644137,14.561361155708944,10.626744145621453
2016-01-31,52288.0,12.18595719859241,9.135505444262817,1.3024971312729479,2.8018794597685166,14.607075810899895,10.583287110627287
2016-02-01,42456.0,11.86352718108159,9.680516063187653,1.1623330035801815,2.2895613343825314,14.299961371772444,10.964349171651467
2016-02-02,42445.0,11.628627635763928,9.030043004591619,1.1969405112498646,2.325505676000021,14.115731888324811,10.490987090839146
2016-02-03,46115.0,11.539017890057465,9.538499045310658,1.211015721565658,2.322146990189464,14.019751707688306,10.925633271612444
2016-02-04,48063.0,11.77587582964026,10.31232731959778,1.2564394648690382,2.666192464162703,14.32800033289959,12.094125849584
2016-02-05,55521.0,11.366007276525993,8.685932399249262,1.2143360170025828,2.5267437317509747,13.897581275559382,10.17383390432752
2016-02-06,64640.0,12.000741800742574,9.25532613786251,1.2875061881188454,2.4670429826537608,14.403933787138861,10.627917539553144
2016-02-07,56269.0,12.123837637064815,8.940928460134124,1.3278437505553882,2.332402817239211,14.574310188565502,10.3252580322563
2016-02-08,41975.0,11.330255628350205,9.286707035268151,1.187380583680768,2.991231074571507,13.803782966049113,10.862278165265543
2016-02-09,41629.0,11.461107881524894,10.185048367603699,1.2081719474404855,3.0699923022346636,13.963277282661315,12.588357302247381
2016-02-10,47315.0,11.376735496142876,9.137361200247094,1.1617087604353835,2.1557671375544007,13.826550354011982,10.486844550904204
2016-02-11,56100.0,11.385099999999998,9.577665648240957,1.1811062388591809,2.1169159498374546,13.880894474159868,10.978921606611504
2016-02-12,61363.0,11.986126656128285,9.80535784801816,1.2381721884523325,2.5217011873106356,14.558730342399105,11.424897091016376
2016-02-13,70652.0,11.557027826530035,9.395452173900006,1.2301653173300455,2.2814470888193985,13.892567230946126,10.986443744780784
2016-02-14,57902.0,11.622477289212814,9.289996527197264,1.2503713170529729,2.147595072406588,13.95927670892932,10.657810066780069
2016-02-15,44269.0,11.546893989021662,10.04121266585515,1.2529847071313995,2.672386284446828,13.86357744697202,11.591100499412164
2016-02-16,42679.0,11.708361957871555,9.411623283852661,1.2363272335340691,2.5278045778369043,14.208950772041845,10.942420711827276
2016-02-17,45466.0,11.592662649012446,9.074690424266224,1.2068926230589907,2.459303574619924,14.096334843620241,10.546404763071221
2016-02-18,50612.0,11.623376669564529,9.12877767980994,1.1905423614953077,2.2247820784341745,14.122339958907268,10.580358827661103
2016-02-19,57004.0,11.833497473861485,9.134344758038317,1.2020663462213257,2.329901609173928,14.363858501165366,10.549927849499264
2016-02-20,66513.0,12.314027333002572,8.885676945825729,1.2532316990663763,2.1266232520290966,14.674089125445313,10.130784596148269
2016-02-21,55142.0,12.148004787639186,9.14391948398636,1.2622534547169242,2.4930878128457565,14.527802038381667,10.569175097964713
2016-02-22,41179.0,11.626969571869148,9.413529905398306,1.1544981665412068,2.3400152604874966,14.052921877653857,10.735783671797607
2016-02-23,49523.0,11.230034125557824,9.171768645802787,1.171014074268521,2.17882411263928,13.684762433619179,10.439775893937695
2016-02-24,49668.0,11.487815897559795,9.439239690104149,1.2396247080615372,2.5142744360651865,14.001420633006706,10.798626060864107
2016-02-25,51493.0,11.795479773949854,9.9665594771878,1.2607138834404803,2.5684170588322965,14.373205484246009,11.451377619671216
2016-02-26,60253.0,11.884442102467933,9.072063706893589,1.207397473984715,2.272395224660652,14.420087464534054,10.440916526726005
2016-02-27,67411.0,12.082494696711226,9.640763780201446,1.2383642135556725,2.5744778761313256,14.443265045775131,11.46901882031939
2016-02-28,53739.0,12.322285677068793,9.606413972092627,1.2751284914122074,2.3066437902226977,14.718756024496233,10.92133473687088
2016-02-29,43326.0,11.873792872639985,9.346460824249917,1.195536860084019,2.6357347062485434,14.349257258920995,10.814056288791551
2016-03-01,45349.0,11.66279476945467,9.349526344595619,1.1336369048931705,2.1146651963558023,14.071874352246615,10.583908853242466
2016-03-02,49331.0,11.429422472684514,9.233214755993913,1.1790871865561363,3.0002703844508622,13.902939733639393,10.737990068779762
2016-03-03,52983.0,11.638863031538415,9.533809007515542,1.223960515637088,2.3603797599492995,14.158655229040985,10.953963509248435
2016-03-04,58737.0,11.799283245654356,9.887353484896849,1.240017535795166,3.3889016701776367,14.369022251741034,11.482795977698894
2016-03-05,68122.0,12.008332403628785,8.936915615952573,1.2292169930419217,2.183671781380336,14.353229059639945,10.1867090114473
2016-03-06,53538.0,12.214517538944303,9.852898564186267,1.2602359072061058,2.4340888899273945,14.58365235907916,11.24893566266362
2016-03-07,41294.0,11.885224003487187,9.59918450617278,1.1776982128154323,2.483366898949259,14.336799292873854,10.998677729073279
2016-03-08,43023.0,11.902070985286935,9.65562799582414,1.1814766520233446,2.350206428056726,14.370542035654873,11.033985171118376
2016-03-09,45284.0,12.054966875717694,9.712229059336929,1.211623310661604,2.4216248896575947,14.566081176576366,11.212777611798439
